Departure,Arrival,Number of flights
MRI,MRI,0
MRI,HOM,0
MRI,AKN,0
MRI,NIB,4
MRI,SLQ,0
MRI,TKA,0
MRI,TEK,2
MMI,NO,0
MER,CYS,1
MTN,MTN,0
MTN,TRI,1
MTN,QQU,0
MTN,APA,0
MTN,YIP,1
MTN,ESN,1
MTN,FLL,1
MTN,FWA,1
MTN,FDK,1
MTN,MDT,1
MTN,LWB,1
MTN,BNA,0
MTN,PIT,1
MTN,SBY,1
MTN,SCE,1
MTN,IAD,1
MTN,BDL,1
MTN,ISW,0
MVW,YVR,0
MVW,EGE,0
MVW,HES,0
MVW,RAP,0
MVW,BFI,0
MVW,SGR,1
MVW,UES,0
MDH,MDH,0
MDH,CLT,1
MDH,STL,0
MHC,SCL,12
MPH,CRK,22
MPH,CEB,55
MPH,ENI,4
MPH,MNL,196
MPH,TPE,4
MAA,BAH,11
MAA,DAC,15
MAA,CSX,5
MAA,CTU,7
MAA,KMG,8
MAA,NNG,3
MAA,SZX,7
MAA,WUH,2
MAA,ADD,5
MAA,CDG,6
MAA,FRA,6
MAA,HKG,13
MAA,AMD,21
MAA,BLR,135
MAA,BBI,16
MAA,IXC,8
MAA,COK,46
MAA,CJB,63
MAA,DEL,141
MAA,RDP,7
MAA,GOI,8
MAA,GOX,0
MAA,GAU,24
MAA,HBX,8
MAA,HYD,100
MAA,IDR,8
MAA,JAI,8
MAA,JDH,8
MAA,CDP,4
MAA,CNN,8
MAA,CCU,53
MAA,CCJ,16
MAA,KJB,5
MAA,LKO,8
MAA,IXM,54
MAA,IXE,8
MAA,BOM,167
MAA,MYQ,12
MAA,NAG,5
MAA,PAT,8
MAA,IXZ,48
MAA,PNQ,34
MAA,RPR,4
MAA,RJA,8
MAA,IXR,8
MAA,SAG,7
MAA,IXB,16
MAA,STV,4
MAA,TRZ,31
MAA,TRV,24
MAA,TCR,28
MAA,BDQ,1
MAA,VNS,8
MAA,VGA,16
MAA,VTZ,15
MAA,KWI,24
MAA,KUL,41
MAA,RGN,1
MAA,AMS,3
MAA,MCT,24
MAA,DOH,20
MAA,DMM,2
MAA,JED,9
MAA,SIN,48
MAA,CMB,68
MAA,JAF,4
MAA,DMK,8
MAA,BKK,7
MAA,IST,3
MAA,AUH,34
MAA,DXB,44
MAA,SHJ,8
MAA,LHR,8
MDW,YZE,1
MDW,YHU,1
MDW,YTZ,7
MDW,YYZ,1
MDW,PUJ,6
MDW,MBJ,6
MDW,AGU,4
MDW,CSL,0
MDW,CUN,10
MDW,DGO,2
MDW,GDL,10
MDW,MLM,11
MDW,BJX,7
MDW,ZCL,7
MDW,SJU,6
MDW,CIW,1
MDW,CAK,2
MDW,ALB,15
MDW,ABQ,9
MDW,AVL,2
MDW,ATL,86
MDW,AUS,38
MDW,BWI,40
MDW,BTL,1
MDW,BIE,0
MDW,BHM,15
MDW,BOS,32
MDW,BUF,21
MDW,BUR,8
MDW,CHS,15
MDW,CLT,21
MDW,CHO,1
MDW,AUZ,0
MDW,PWK,0
MDW,MDW,0
MDW,ORD,0
MDW,UGN,1
MDW,LUK,1
MDW,CVG,29
MDW,CLE,35
MDW,COS,14
MDW,CAE,1
MDW,CMH,42
MDW,CXO,0
MDW,DFW,9
MDW,DAL,53
MDW,DEC,0
MDW,DEN,80
MDW,VPS,2
MDW,DET,2
MDW,DTW,51
MDW,YIP,2
MDW,EGV,0
MDW,FAR,0
MDW,FRG,1
MDW,FLL,25
MDW,FWA,2
MDW,GFK,1
MDW,GRR,24
MDW,GPZ,0
MDW,GRB,0
MDW,GSO,1
MDW,HAO,1
MDW,HHH,1
MDW,IAH,14
MDW,HOU,33
MDW,TYQ,1
MDW,JXN,1
MDW,JAX,8
MDW,AZO,0
MDW,MKC,1
MDW,MCI,58
MDW,TYS,2
MDW,LAS,83
MDW,LEX,1
MDW,LGB,9
MDW,LAX,44
MDW,SDF,23
MDW,MHT,14
MDW,MEM,14
MDW,MIA,25
MDW,MKE,0
MDW,MSP,88
MDW,MYR,10
MDW,ACK,3
MDW,BNA,48
MDW,HVN,2
MDW,MSY,24
MDW,LGA,59
MDW,EWR,1
MDW,ORF,15
MDW,OAK,16
MDW,OKC,16
MDW,OMA,38
MDW,ONT,8
MDW,MCO,71
MDW,SFB,1
MDW,OXC,1
MDW,ECP,3
MDW,PNS,1
MDW,PHL,36
MDW,PHX,67
MDW,PIT,35
MDW,PSF,1
MDW,PDX,16
MDW,PWM,8
MDW,PVD,14
MDW,PVU,0
MDW,PGD,2
MDW,RDU,23
MDW,RIC,14
MDW,ROC,14
MDW,LOT,0
MDW,SMF,15
MDW,SLC,16
MDW,SAT,15
MDW,SAN,30
MDW,SFO,8
MDW,SJC,14
MDW,SRQ,8
MDW,SAV,12
MDW,SCF,0
MDW,SEA,16
MDW,SBM,0
MDW,SHV,0
MDW,RSW,24
MDW,SUS,0
MDW,SGF,0
MDW,STL,52
MDW,STP,0
MDW,TPA,42
MDW,TEB,4
MDW,TVC,1
MDW,TTN,1
MDW,TUS,2
MDW,TUL,15
MDW,VNY,1
MDW,IAD,24
MDW,DCA,48
MDW,CWA,0
MDW,PBI,2
MDW,FOK,1
MDW,HPN,2
MDW,ICT,0
MDW,BDL,16
MRC,NO,0
MME,CFU,1
MME,JER,1
MME,AMS,20
MME,SVG,1
MME,FAO,3
MME,BTS,1
MME,ALC,2
MME,AGP,1
MME,PMI,4
MME,ABZ,7
MME,LBA,1
MGY,MGY,1
MGY,ITH,1
MGY,ISM,1
MGY,PHF,1
MGL,SZG,1
MGL,LBG,1
MGL,QEF,1
MGL,OBF,1
MGL,STR,1
MGL,ZTH,1
MGL,OLB,1
MGL,CIA,1
MGL,RIX,1
MGL,VNO,1
MGL,AMS,1
MGL,ACH,1
MGL,ZRH,1
MGL,QKT,1
MRQ,NO,0
MDT,ATL,23
MDT,AVP,1
MDT,MTN,1
MDT,BOS,7
MDT,QQF,1
MDT,CLT,44
MDT,ORD,32
MDT,RFD,1
MDT,CVG,2
MDT,DFW,8
MDT,DSM,0
MDT,DTW,8
MDT,FLL,1
MDT,GED,1
MDT,HAO,1
MDT,IND,2
MDT,AZO,1
MDT,GGG,0
MDT,SDF,2
MDT,MEM,1
MDT,MYR,3
MDT,BNA,3
MDT,EWR,17
MDT,MCO,2
MDT,SFB,6
MDT,PHL,33
MDT,PGD,2
MDT,RIC,1
MDT,SRQ,2
MDT,PIE,4
MDT,TOL,1
MDT,BDL,1
MKL,ATL,20
MKL,AUS,1
MKL,DFW,0
MKL,HOT,0
MKL,MEM,1
MKL,BNA,0
MKL,QQN,0
MKL,UCY,0
MJQ,NO,0
MCI,CUN,7
MCI,ABQ,7
MCI,ATL,82
MCI,ACY,1
MCI,AUS,23
MCI,BWI,17
MCI,BOS,24
MCI,CID,0
MCI,CLT,28
MCI,MDW,59
MCI,ORD,64
MCI,RFD,1
MCI,CVG,3
MCI,DFW,51
MCI,DAL,47
MCI,DEN,97
MCI,VPS,3
MCI,DTW,31
MCI,DDC,1
MCI,EAU,0
MCI,FRG,1
MCI,FLL,8
MCI,AFW,0
MCI,IAH,26
MCI,HOU,17
MCI,IND,15
MCI,MKC,0
MCI,LAS,44
MCI,LGB,8
MCI,LAX,37
MCI,SDF,3
MCI,MEM,2
MCI,MIA,8
MCI,MKE,0
MCI,MSP,34
MCI,MYR,1
MCI,BNA,26
MCI,MSY,9
MCI,JFK,16
MCI,LGA,51
MCI,EWR,16
MCI,OAK,8
MCI,MCO,33
MCI,ECP,3
MCI,PNS,8
MCI,PHL,16
MCI,PHX,53
MCI,PDX,8
MCI,PGD,2
MCI,RDU,1
MCI,SLC,23
MCI,SAT,1
MCI,SAN,16
MCI,SFO,8
MCI,SNA,0
MCI,SEA,26
MCI,PNX,0
MCI,RSW,3
MCI,SGF,1
MCI,STL,28
MCI,PIE,2
MCI,TPA,17
MCI,IAD,8
MCI,DCA,44
MKC,NAS,1
MKC,AUS,0
MKC,BED,1
MKC,CLT,1
MKC,AUZ,1
MKC,DPA,0
MKC,MDW,1
MKC,ORD,1
MKC,LUK,2
MKC,CEU,1
MKC,COS,0
MKC,CMH,1
MKC,RBD,0
MKC,DAL,0
MKC,APA,2
MKC,DEN,0
MKC,EVV,0
MKC,FLG,0
MKC,FXE,1
MKC,FCA,1
MKC,MKC,0
MKC,TYS,1
MKC,LWM,1
MKC,LIT,0
MKC,MEM,0
MKC,FCM,1
MKC,MSP,0
MKC,MSO,0
MKC,QTH,0
MKC,PWA,0
MKC,SLC,0
MKC,SUS,1
MKC,SGF,0
MKC,TEB,2
MKC,TWF,0
MKC,VNY,0
MKC,BDL,1
MPA,ERS,8
MKK,HNL,103
MKK,OGG,62
MKK,LUP,21
MKK,LNY,4
MQJ,YKS,3
MRW,DUS,1
MAS,KVG,1
MAS,LAE,1
MAS,MAG,1
MAS,POM,3
MAS,WWK,1
MST,CDG,1
MST,AMS,1
MST,ZAZ,2
MST,IST,10
MEA,NO,0
MCP,BEL,27
MCP,BSB,15
MCP,GTP,7
MFM,PNH,3
MFM,PEK,16
MFM,PKX,4
MFM,CZX,7
MFM,TFU,8
MFM,CKG,4
MFM,HAK,3
MFM,HGH,24
MFM,NKG,22
MFM,NNG,1
MFM,NTG,4
MFM,NGB,8
MFM,TAO,4
MFM,JJN,6
MFM,SHA,36
MFM,PVG,55
MFM,TYN,2
MFM,TSN,4
MFM,WNZ,3
MFM,WUH,4
MFM,WUX,16
MFM,XMN,9
MFM,NGO,2
MFM,KIX,4
MFM,NRT,4
MFM,FRU,3
MFM,KUL,8
MFM,ROR,3
MFM,CRK,0
MFM,MNL,16
MFM,DOH,1
MFM,SIN,13
MFM,PUS,7
MFM,ICN,14
MFM,KHH,9
MFM,TPE,38
MFM,DMK,24
MFM,BKK,11
MFM,UTP,1
MFM,DAD,6
MFM,HAN,2
MFM,CXR,4
MCZ,EZE,1
MCZ,CNF,5
MCZ,BSB,20
MCZ,VCP,15
MCZ,FOR,8
MCZ,GYN,1
MCZ,NAT,3
MCZ,REC,32
MCZ,RAO,1
MCZ,GIG,8
MCZ,SDU,1
MCZ,SSA,6
MCZ,SJP,1
MCZ,CGH,8
MCZ,GRU,49
MCZ,UDI,1
MCZ,GTP,7
MKY,BNE,74
MKY,CNS,2
MKY,MEL,2
MKY,ROK,13
MKY,MCY,4
MKY,TSV,18
MCD,NO,0
MCN,BWI,16
MCN,CUB,1
MCN,GPT,1
MCN,LEE,1
MCN,RED,1
MAC,MAC,1
MAC,SRQ,1
MAC,SAV,1
MAG,LAE,4
MAG,MAS,1
MAG,POM,15
MAG,WWK,9
MAE,CVO,0
MAE,WVI,0
MSN,ATL,23
MSN,CLT,25
MSN,MDW,0
MSN,ORD,63
MSN,LUK,1
MSN,CMH,1
MSN,DFW,24
MSN,DAL,0
MSN,APA,0
MSN,DEN,21
MSN,DSM,0
MSN,DTW,31
MSN,EAU,1
MSN,ESC,0
MSN,FRG,1
MSN,GRB,3
MSN,HYR,1
MSN,MKC,0
MSN,LSE,0
MSN,LGU,0
MSN,SDF,6
MSN,MEM,1
MSN,MKE,0
MSN,FCM,1
MSN,MSP,31
MSN,LGA,8
MSN,EWR,8
MSN,ORL,1
MSN,PHL,8
MSN,PHX,8
MSN,RAC,0
MSN,SFO,1
MSN,SJC,0
MSN,SUX,0
MSN,CPS,0
MSN,STL,0
MSN,STP,0
MSN,TVC,1
MSN,IAD,2
MSN,DCA,15
MSN,CWA,1
MAD,TIA,2
MAD,AZR,1
MAD,ALG,1
MAD,HME,2
MAD,LAD,3
MAD,EZE,33
MAD,VIE,32
MAD,BRU,76
MAD,CRL,5
MAD,LGG,5
MAD,CBB,2
MAD,VVI,6
MAD,GIG,3
MAD,SSA,3
MAD,GRU,24
MAD,SOF,11
MAD,YUL,4
MAD,YYZ,10
MAD,SID,2
MAD,SCL,17
MAD,PEK,5
MAD,CKG,3
MAD,HGH,6
MAD,PVG,5
MAD,BOG,58
MAD,CLO,4
MAD,MDE,10
MAD,SJO,10
MAD,DBV,8
MAD,ZAG,2
MAD,HAV,20
MAD,SCU,2
MAD,PRG,13
MAD,BLL,2
MAD,CPH,14
MAD,PUJ,9
MAD,SDQ,16
MAD,GYE,3
MAD,UIO,12
MAD,CAI,10
MAD,LXR,3
MAD,SSG,1
MAD,HEL,8
MAD,BSL,8
MAD,BOD,21
MAD,FSC,1
MAD,LME,1
MAD,LYS,27
MAD,MRS,30
MAD,NTE,24
MAD,NCE,24
MAD,BVA,6
MAD,CDG,76
MAD,LBG,3
MAD,ORY,100
MAD,SXB,7
MAD,TLN,1
MAD,TLS,22
MAD,KUT,3
MAD,BER,29
MAD,CGN,2
MAD,DRS,1
MAD,DUS,30
MAD,FRA,73
MAD,HAM,15
MAD,FKB,1
MAD,LEJ,2
MAD,MUC,64
MAD,STR,1
MAD,ATH,26
MAD,HER,0
MAD,JMK,0
MAD,JTR,0
MAD,GUA,7
MAD,XPL,2
MAD,SAP,3
MAD,HKG,2
MAD,BUD,19
MAD,KEF,6
MAD,DUB,30
MAD,TLV,39
MAD,AHO,3
MAD,BRI,3
MAD,BLQ,27
MAD,BDS,2
MAD,CAG,4
MAD,CTA,3
MAD,FLR,16
MAD,GOA,1
MAD,BGY,14
MAD,LIN,26
MAD,MXP,44
MAD,NAP,17
MAD,OLB,6
MAD,PMO,3
MAD,PSA,4
MAD,FCO,114
MAD,TRS,1
MAD,TRN,18
MAD,VCE,35
MAD,AMM,8
MAD,KWI,4
MAD,RIX,3
MAD,BEY,4
MAD,KUN,2
MAD,LUX,13
MAD,MLA,9
MAD,MRU,0
MAD,CUN,11
MAD,GDL,8
MAD,MEX,40
MAD,MTY,8
MAD,AGA,2
MAD,CMN,37
MAD,ESU,2
MAD,FEZ,5
MAD,RAK,24
MAD,NDR,6
MAD,RBA,6
MAD,TNG,24
MAD,TTU,2
MAD,AMS,71
MAD,EIN,3
MAD,OSL,10
MAD,PTY,11
MAD,ASU,8
MAD,LIM,31
MAD,KRK,4
MAD,WAW,12
MAD,WMI,4
MAD,FAO,7
MAD,FNC,3
MAD,LIS,152
MAD,OPO,89
MAD,SJU,6
MAD,DOH,20
MAD,OTP,22
MAD,CLJ,6
MAD,CRA,4
MAD,IAS,3
MAD,TSR,2
MAD,JED,5
MAD,DSS,9
MAD,BEG,4
MAD,BTS,1
MAD,ICN,5
MAD,LCG,66
MAD,ALC,37
MAD,LEI,20
MAD,LEU,2
MAD,OVD,35
MAD,BJZ,14
MAD,BCN,127
MAD,BIO,73
MAD,CDT,6
MAD,FUE,25
MAD,GRO,4
MAD,LPA,109
MAD,GRX,19
MAD,IBZ,69
MAD,XRY,25
MAD,SPC,12
MAD,ACE,37
MAD,RJL,7
MAD,MAH,29
MAD,AGP,57
MAD,MLN,27
MAD,PMI,161
MAD,PNA,17
MAD,EAS,24
MAD,SDR,26
MAD,SCQ,32
MAD,SVQ,32
MAD,TFN,99
MAD,TFS,22
MAD,VLC,36
MAD,VGO,66
MAD,ZAZ,1
MAD,ARN,11
MAD,GVA,43
MAD,ZRH,48
MAD,TUN,8
MAD,IST,30
MAD,ISL,1
MAD,SAW,13
MAD,NAV,1
MAD,AUH,8
MAD,DXB,8
MAD,DWC,3
MAD,BHX,2
MAD,BRS,9
MAD,EDI,14
MAD,FAB,1
MAD,LPL,4
MAD,LGW,50
MAD,LHR,102
MAD,STN,24
MAD,MAN,9
MAD,ATL,8
MAD,BOS,8
MAD,CLT,8
MAD,ORD,8
MAD,DFW,16
MAD,LAX,5
MAD,MIA,32
MAD,JFK,35
MAD,EWR,8
MAD,PHL,4
MAD,SFO,4
MAD,IAD,13
MAD,MVD,10
MAD,CCS,10
MAQ,DMK,16
MFA,DAR,53
MFA,KIY,3
MGN,NO,0
MQF,KZN,2
MQF,KUF,2
MJN,TNR,3
MJN,DZA,4
MBD,NO,0
MAH,CRL,2
MAH,PRG,3
MAH,BSL,3
MAH,BOD,4
MAH,LIL,2
MAH,LYS,4
MAH,MRS,9
MAH,NTE,3
MAH,CDG,2
MAH,ORY,10
MAH,TLS,5
MAH,CGN,3
MAH,DUS,5
MAH,FRA,4
MAH,HAJ,2
MAH,LBC,3
MAH,MUC,4
MAH,STR,1
MAH,DUB,2
MAH,BLQ,3
MAH,BGY,4
MAH,LIN,1
MAH,MXP,7
MAH,NAP,3
MAH,FCO,4
MAH,TSF,2
MAH,VRN,1
MAH,LUX,2
MAH,AMS,3
MAH,LIS,9
MAH,OPO,3
MAH,BTS,1
MAH,LCG,2
MAH,ALC,4
MAH,OVD,4
MAH,BCN,69
MAH,BIO,14
MAH,LPA,1
MAH,IBZ,3
MAH,MAD,29
MAH,AGP,3
MAH,RMU,3
MAH,PMI,78
MAH,EAS,2
MAH,SDR,2
MAH,SCQ,2
MAH,SVQ,4
MAH,VLC,22
MAH,ZAZ,3
MAH,GVA,3
MAH,ACH,1
MAH,ZRH,3
MAH,BFS,3
MAH,BHX,11
MAH,BOH,3
MAH,BRS,10
MAH,CWL,2
MAH,EDI,2
MAH,EXT,2
MAH,GLA,2
MAH,LBA,5
MAH,LGW,33
MAH,LTN,5
MAH,STN,14
MAH,MAN,20
MAH,NCL,6
MAH,NWI,3
MAH,EMA,9
MRX,MHD,1
MRX,SYZ,1
MRX,THR,4
MIU,ABV,22
MIU,LOS,5
MMO,RAI,4
MTL,NO,0
MAJ,TRW,2
MAJ,AUL,1
MAJ,EBO,1
MAJ,JAT,1
MAJ,UIT,2
MAJ,JEJ,1
MAJ,KWA,4
MAJ,MJE,1
MAJ,MAV,1
MAJ,MJB,1
MAJ,MIJ,1
MAJ,UTK,2
MAJ,WTE,1
MAJ,PNI,6
MAJ,HNL,4
MKP,HHZ,1
MKP,PPT,1
MCX,GYD,2
MCX,TLV,4
MCX,SCO,1
MCX,FRU,2
MCX,CEK,2
MCX,KZN,6
MCX,KJA,2
MCX,MRV,3
MCX,DME,49
MCX,SVO,43
MCX,VKO,14
MCX,ZIA,2
MCX,NJC,1
MCX,GOJ,2
MCX,OVB,8
MCX,NUX,3
MCX,OMS,3
MCX,REN,1
MCX,PEE,4
MCX,KUF,2
MCX,AER,4
MCX,LED,24
MCX,SGC,2
MCX,TJM,2
MCX,UFA,4
MCX,SVX,14
MCX,JED,0
MCX,AYT,8
MCX,IST,8
MCX,DXB,12
MCX,BHK,1
MCX,NMA,2
MCX,TAS,1
MKZ,PKU,7
MAK,NO,0
MLG,HLP,34
MLG,CGK,11
MLX,JED,0
MLX,MED,1
MLX,ESB,12
MLX,IST,24
MLX,SAW,15
MLX,ADB,3
MAW,NO,0
MLE,BAH,8
MLE,DAC,6
MLE,PKX,3
MLE,CTU,4
MLE,PVG,4
MLE,FRA,2
MLE,BLR,8
MLE,COK,13
MLE,BOM,16
MLE,TRV,5
MLE,FCO,1
MLE,KUL,9
MLE,DDD,38
MLE,DRV,80
MLE,FND,3
MLE,FVM,16
MLE,GAN,38
MLE,HAQ,39
MLE,HRF,3
MLE,IFU,16
MLE,KDM,24
MLE,KDO,40
MLE,GKK,38
MLE,HDK,8
MLE,VAM,40
MLE,RUL,2
MLE,TMF,3
MLE,DOH,24
MLE,SVO,5
MLE,JED,1
MLE,RUH,1
MLE,SIN,16
MLE,CMB,62
MLE,ZRH,1
MLE,DMK,8
MLE,IST,6
MLE,AUH,16
MLE,DXB,43
MLE,LHR,4
MYD,ASV,10
MYD,LAU,11
MYD,NBO,26
MYD,WIL,24
MYD,UKA,3
MMX,TIA,2
MMX,ANR,2
MMX,TZL,3
MMX,ZAG,5
MMX,LCA,1
MMX,RKE,1
MMX,HEL,1
MMX,QEQ,1
MMX,CGN,2
MMX,FRA,1
MMX,CHQ,1
MMX,HER,1
MMX,RHO,1
MMX,BUD,3
MMX,DUB,1
MMX,PRN,1
MMX,OHD,2
MMX,SKP,4
MMX,OSL,1
MMX,SVG,1
MMX,GDN,5
MMX,KTW,2
MMX,WAW,2
MMX,OTP,2
MMX,CLJ,4
MMX,BEG,4
MMX,INI,2
MMX,PMI,2
MMX,GOT,2
MMX,QEL,3
MMX,MMX,2
MMX,ARN,46
MMX,BMA,49
MMX,VBY,2
MMX,AYT,1
MLA,VIE,13
MLA,BRU,8
MLA,CRL,4
MLA,SOF,4
MLA,ZAG,5
MLA,LCA,8
MLA,PFO,2
MLA,PRG,3
MLA,BLL,2
MLA,BOD,2
MLA,LYS,7
MLA,MRS,9
MLA,NTE,2
MLA,NCE,3
MLA,BVA,2
MLA,CDG,11
MLA,LBG,1
MLA,ORY,16
MLA,LDE,2
MLA,TLS,4
MLA,BER,3
MLA,CGN,2
MLA,DUS,4
MLA,FRA,18
MLA,HAM,1
MLA,FKB,1
MLA,FMM,2
MLA,MUC,21
MLA,ATH,10
MLA,CHQ,3
MLA,SKG,5
MLA,BUD,11
MLA,DUB,4
MLA,SNN,2
MLA,TLV,6
MLA,BRI,11
MLA,BLQ,16
MLA,CAG,4
MLA,CTA,29
MLA,SUF,5
MLA,BGY,5
MLA,LIN,9
MLA,MXP,6
MLA,NAP,14
MLA,PMO,4
MLA,PMF,2
MLA,PEG,3
MLA,PSR,4
MLA,PSA,4
MLA,CIA,12
MLA,FCO,23
MLA,TPS,6
MLA,TRS,2
MLA,TRN,3
MLA,TSF,10
MLA,RIX,4
MLA,BEN,2
MLA,MRA,1
MLA,MJI,5
MLA,VNO,2
MLA,LUX,3
MLA,MLA,1
MLA,AMS,9
MLA,EIN,2
MLA,SKP,2
MLA,GDN,3
MLA,KTW,2
MLA,KRK,2
MLA,POZ,2
MLA,WAW,4
MLA,WMI,3
MLA,WRO,3
MLA,LIS,3
MLA,OPO,4
MLA,OTP,6
MLA,CLJ,3
MLA,BEG,9
MLA,INI,2
MLA,BTS,4
MLA,BCN,8
MLA,MAD,9
MLA,SVQ,2
MLA,VLC,4
MLA,ARN,3
MLA,BRN,1
MLA,GVA,5
MLA,ZRH,15
MLA,TUN,6
MLA,IST,16
MLA,BHX,6
MLA,BOH,2
MLA,BRS,3
MLA,EDI,3
MLA,GLA,2
MLA,LBA,2
MLA,LPL,2
MLA,BQH,1
MLA,LGW,34
MLA,LHR,17
MLA,LTN,4
MLA,STN,10
MLA,MAN,19
MLA,NCL,1
MLA,EMA,2
MBO,NO,0
MMH,QTC,0
MMH,MMH,0
MMH,VGT,0
MMH,SFO,0
MMH,SNA,1
MJU,BPN,3
MJU,UPG,24
MNF,NO,0
MDC,FOC,2
MDC,CAN,2
MDC,NKG,3
MDC,BPN,2
MDC,MWS,1
MDC,DPS,1
MDC,CGK,49
MDC,KAZ,3
MDC,LUW,1
MDC,UPG,46
MDC,SOQ,8
MDC,SUB,8
MDC,NAH,3
MDC,TTE,26
MDC,NRT,1
MDC,SIN,4
MGA,SJO,5
MGA,HAV,12
MGA,SAL,35
MGA,MEX,8
MGA,BEF,16
MGA,RNI,16
MGA,PUZ,6
MGA,BZA,1
MGA,PTY,17
MGA,LCK,1
MGA,FLL,8
MGA,IAH,8
MGA,MIA,37
MNZ,CIA,1
MNZ,AEX,0
MNZ,BWI,5
MNZ,BFP,1
MNZ,CHO,2
MNZ,QQP,1
MNZ,CMH,1
MNZ,MGY,1
MNZ,GVE,1
MNZ,GSO,11
MNZ,HKS,0
MNZ,JAX,1
MNZ,ISM,2
MNZ,LOU,1
MNZ,MNZ,2
MNZ,OPF,1
MNZ,NTU,1
MNZ,PKB,1
MNZ,AGC,1
MNZ,RDG,14
MNZ,SAV,0
MNZ,SHD,1
MNZ,RVS,0
MNZ,PBI,0
MNZ,ILG,1
MAO,IUP,3
MAO,BAZ,3
MAO,BEL,14
MAO,BVB,7
MAO,RBB,1
MAO,BSB,32
MAO,VCP,39
MAO,CAF,2
MAO,CIZ,5
MAO,SJL,2
MAO,ERN,3
MAO,FOR,8
MAO,ITB,3
MAO,LBR,3
MAO,MNX,3
MAO,MBZ,3
MAO,PIN,5
MAO,TMT,0
MAO,PVH,18
MAO,REC,8
MAO,RBR,1
MAO,GIG,2
MAO,SSA,1
MAO,STM,6
MAO,GRU,39
MAO,TBT,4
MAO,TFF,7
MAO,BOG,7
MAO,MDE,4
MAO,UIO,5
MAO,PTY,4
MAO,LIM,1
