Departure,Arrival,Number of flights
SCO,EVN,2
SCO,GYD,8
SCO,KUT,3
SCO,TBS,4
SCO,AKX,7
SCO,ALA,35
SCO,NQZ,22
SCO,GUW,16
SCO,KOV,3
SCO,CIT,11
SCO,HSA,3
SCO,ASF,4
SCO,GRV,1
SCO,KZN,2
SCO,MCX,1
SCO,MRV,1
SCO,SVO,3
SCO,VKO,3
SCO,ZIA,3
SCO,AER,2
SCO,SVX,3
SCO,AYT,2
SCO,IST,9
SCO,LHR,6
SCO,NCU,1
SKB,ANU,5
SKB,NAS,1
SKB,BGI,3
SKB,SDQ,2
SKB,SXM,16
SKB,SJU,9
SKB,NEV,14
SKB,SLU,1
SKB,ATL,1
SKB,FLL,1
SKB,MIA,10
SKB,EIS,3
SKB,STX,3
SKB,STT,4
SSI,AVL,1
SSI,AHN,1
SSI,CHA,1
SSI,SFB,1
SSI,IAD,1
SSI,PBI,2
SLU,ANU,2
SLU,BGI,21
SLU,DOM,12
SLU,FDF,2
SLU,SVD,8
SLU,POS,4
SCC,ANC,20
SCC,BRW,5
SCC,BTI,3
SCC,NUI,3
SID,BRU,5
SID,VCP,6
SID,GRU,2
SID,BVC,1
SID,RAI,15
SID,SNE,2
SID,VXE,8
SID,LBG,1
SID,DUS,1
SID,FRA,1
SID,HAJ,1
SID,MUC,1
SID,STR,2
SID,BGY,1
SID,MXP,1
SID,CIA,1
SID,FCO,1
SID,VRN,1
SID,LUX,1
SID,AMS,5
SID,WAW,1
SID,LIS,11
SID,DSS,1
SID,BTS,1
SID,BCN,1
SID,LPA,1
SID,MAD,1
SID,ZRH,1
SID,BHX,2
SID,BRS,1
SID,LGW,2
SID,STN,1
SID,MAN,3
SID,BZZ,1
SUU,HNL,1
SPX,LXR,1
SPX,FRA,2
SPX,MUC,1
SPX,MXP,1
SPX,FCO,1
SPX,AMM,3
SPX,KWI,5
SPX,JED,2
SPX,MED,1
SPX,YNB,1
SUN,DEN,9
SUN,LAX,2
SUN,PDX,1
SUN,SLC,17
SUN,SFO,3
SUN,SJC,2
SUN,SEA,9
SOB,BER,1
SGN,BNE,0
SGN,MEL,17
SGN,SYD,15
SGN,BWN,4
SGN,PNH,32
SGN,REP,16
SGN,KOS,8
SGN,PEK,3
SGN,CTU,4
SGN,TFU,2
SGN,CKG,3
SGN,DYG,7
SGN,CAN,20
SGN,KMG,4
SGN,NNG,17
SGN,PVG,28
SGN,SZX,17
SGN,XMN,8
SGN,CDG,6
SGN,FRA,6
SGN,HKG,45
SGN,AMD,8
SGN,DEL,8
SGN,CCU,7
SGN,BOM,8
SGN,DPS,24
SGN,CGK,11
SGN,FUK,2
SGN,NGO,4
SGN,KIX,15
SGN,HND,16
SGN,NRT,41
SGN,PKZ,4
SGN,JHB,8
SGN,KUL,82
SGN,SZB,2
SGN,PEN,15
SGN,RGN,2
SGN,KHI,2
SGN,MNL,19
SGN,DOH,19
SGN,SIN,109
SGN,PUS,15
SGN,ICN,99
SGN,YNY,3
SGN,KHH,15
SGN,RMQ,12
SGN,TPE,67
SGN,DMK,24
SGN,BKK,97
SGN,CNX,8
SGN,HKT,8
SGN,IST,3
SGN,DXB,8
SGN,LGW,1
SGN,LHR,1
SGN,SFO,5
SGN,BMV,38
SGN,CAH,6
SGN,VCL,63
SGN,VCS,127
SGN,DLI,65
SGN,DAD,274
SGN,VDH,35
SGN,HPH,120
SGN,HAN,514
SGN,HUI,117
SGN,CXR,108
SGN,PQC,194
SGN,PXU,36
SGN,VDO,10
SGN,UIH,76
SGN,VKG,3
SGN,THD,82
SGN,TBB,24
SGN,VII,124
SAW,TIA,11
SAW,EVN,7
SAW,VIE,25
SAW,GYD,26
SAW,GNJ,2
SAW,BAH,14
SAW,BRU,8
SAW,CRL,14
SAW,SJJ,16
SAW,PDV,2
SAW,PRG,9
SAW,CPH,20
SAW,CAI,7
SAW,HRG,12
SAW,SSH,9
SAW,HEL,5
SAW,BSL,21
SAW,LYS,16
SAW,MRS,8
SAW,CDG,28
SAW,BUS,4
SAW,TBS,27
SAW,BER,27
SAW,CGN,42
SAW,DUS,40
SAW,FRA,24
SAW,HAM,18
SAW,HAJ,15
SAW,LEJ,7
SAW,MUC,21
SAW,NUE,6
SAW,STR,27
SAW,ATH,11
SAW,RHO,3
SAW,BUD,12
SAW,TBZ,4
SAW,IKA,16
SAW,OMH,2
SAW,BGW,30
SAW,BSR,2
SAW,EBL,19
SAW,TLV,57
SAW,BLQ,8
SAW,BGY,38
SAW,FCO,25
SAW,VCE,4
SAW,AMM,5
SAW,ALA,5
SAW,NQZ,3
SAW,CIT,2
SAW,HSA,3
SAW,PRN,13
SAW,KWI,39
SAW,FRU,16
SAW,OSS,5
SAW,BEY,16
SAW,MRA,1
SAW,CMN,17
SAW,TNG,2
SAW,AMS,40
SAW,EIN,4
SAW,SKP,9
SAW,OSL,7
SAW,MCT,9
SAW,KHI,4
SAW,DOH,30
SAW,OTP,6
SAW,VKO,16
SAW,LED,8
SAW,DMM,17
SAW,JED,23
SAW,MED,14
SAW,RUH,27
SAW,BEG,5
SAW,BCN,11
SAW,MAD,12
SAW,ARN,18
SAW,GVA,8
SAW,ZRH,22
SAW,ADA,75
SAW,ADF,7
SAW,AJI,5
SAW,ESB,97
SAW,HTY,8
SAW,AYT,165
SAW,BAL,7
SAW,BGG,2
SAW,BJV,116
SAW,DLM,101
SAW,DNZ,13
SAW,DIY,32
SAW,EDO,18
SAW,EZS,16
SAW,ECN,83
SAW,ERC,12
SAW,ERZ,24
SAW,GZT,35
SAW,GZP,8
SAW,IGD,6
SAW,ADB,112
SAW,KSY,12
SAW,ASR,55
SAW,KYA,28
SAW,MLX,15
SAW,MQM,15
SAW,MZH,3
SAW,MSR,6
SAW,NAV,12
SAW,OGU,34
SAW,RZV,23
SAW,SZF,39
SAW,GNY,14
SAW,NKT,4
SAW,VAS,15
SAW,TJK,4
SAW,TZX,96
SAW,VAN,25
SAW,AUH,8
SAW,DXB,28
SAW,SHJ,23
SAW,LHR,5
SAW,STN,56
SAW,MAN,25
SWA,PEK,8
SWA,PKX,36
SWA,CSX,29
SWA,CZX,6
SWA,CTU,8
SWA,TFU,26
SWA,JUH,4
SWA,CKG,28
SWA,DYG,5
SWA,DZH,4
SWA,CAN,9
SWA,KWL,13
SWA,KWE,12
SWA,HAK,20
SWA,HGH,45
SWA,HRB,1
SWA,HFE,12
SWA,HNY,4
SWA,TXN,4
SWA,JGS,4
SWA,KMG,26
SWA,LYI,8
SWA,LZH,8
SWA,LYA,1
SWA,LZO,2
SWA,LUM,2
SWA,KHN,12
SWA,NKG,22
SWA,NNG,8
SWA,NNY,7
SWA,NGB,12
SWA,TAO,4
SWA,BAR,4
SWA,SYX,8
SWA,SHA,16
SWA,PVG,64
SWA,HSC,4
SWA,SJW,6
SWA,TYN,8
SWA,WNZ,8
SWA,WUH,34
SWA,XIY,8
SWA,WUT,4
SWA,XUZ,8
SWA,YBP,7
SWA,YIH,5
SWA,YIW,19
SWA,ZHA,14
SWA,CGO,16
SWA,HSN,8
SWA,ZUH,3
SWA,WMT,4
SWA,KUL,0
SWA,DMK,8
SHS,PKX,8
SHS,TFU,4
SHS,FOC,3
SHS,CAN,8
SHS,KWE,4
SHS,HAK,4
SHS,HGH,4
SHS,TNA,8
SHS,KMG,8
SHS,LHW,4
SHS,NNG,4
SHS,TAO,4
SHS,SYX,4
SHS,PVG,8
SHS,SZX,8
SHS,WNZ,4
SHS,WUX,4
SHS,XIY,8
SHS,XMN,4
SHS,XNN,4
SFJ,BLL,2
SFJ,CPH,6
SFJ,JEG,5
SFJ,JAV,31
SFJ,JSU,4
SFJ,GOH,47
SFJ,THU,1
SFJ,JHS,13
SVD,BGI,33
SVD,HAV,1
SVD,GND,8
SVD,CRU,5
SVD,SLU,5
SVD,CIW,20
SVD,MQS,22
SVD,POS,4
SVD,MIA,7
SVD,JFK,1
SVD,CCS,1
SZB,NNG,4
SZB,HKG,16
SZB,BTH,8
SZB,CGK,5
SZB,AOR,36
SZB,JHB,38
SZB,KBR,71
SZB,BKI,16
SZB,TGG,42
SZB,KUA,4
SZB,KCH,17
SZB,LBU,2
SZB,LGK,33
SZB,PEN,81
SZB,RDN,9
SZB,TOD,6
SZB,SIN,4
SZB,XSP,48
SZB,HAN,1
SVP,LAD,1
SVP,SPP,1
SPC,DUS,1
SPC,MUC,1
SPC,AMS,1
SPC,BCN,1
SPC,BIO,1
SPC,LPA,44
SPC,ACE,2
SPC,MAD,12
SPC,TFN,145
SPC,TFS,16
SPC,LGW,2
SUF,INN,2
SUF,SZG,2
SUF,VIE,5
SUF,BRU,2
SUF,CRL,3
SUF,YYZ,1
SUF,BRQ,1
SUF,PRG,5
SUF,HEL,1
SUF,BSL,2
SUF,ORY,2
SUF,CGN,1
SUF,DUS,7
SUF,FRA,2
SUF,FKB,4
SUF,FMM,2
SUF,MUC,5
SUF,NUE,3
SUF,STR,4
SUF,BLQ,14
SUF,BZO,2
SUF,VBS,5
SUF,GOA,2
SUF,BGY,21
SUF,LIN,24
SUF,MXP,53
SUF,PSA,7
SUF,CIA,1
SUF,FCO,23
SUF,TRN,11
SUF,VCE,8
SUF,VRN,6
SUF,LUX,2
SUF,MLA,6
SUF,KRK,2
SUF,WAW,1
SUF,GVA,2
SUF,ZRH,5
SUF,LGW,1
SUF,STN,4
SUF,MAN,1
STN,TIA,5
STN,INN,1
STN,KLU,2
STN,SZG,5
STN,VIE,16
STN,LGG,6
STN,PDV,3
STN,SOF,19
STN,KOS,1
STN,CAN,15
STN,SZX,2
STN,DBV,5
STN,OSI,2
STN,PUY,3
STN,RJK,3
STN,SPU,4
STN,ZAD,5
STN,ZAG,8
STN,LCA,6
STN,PFO,16
STN,BRQ,8
STN,OSR,2
STN,PRG,20
STN,AAL,4
STN,AAR,10
STN,BLL,21
STN,CPH,24
STN,SSH,1
STN,TLL,5
STN,HEL,7
STN,TMP,3
STN,EGC,7
STN,BZR,4
STN,BIQ,8
STN,BOD,8
STN,BVE,2
STN,CCF,8
STN,LRH,6
STN,LME,1
STN,LIG,8
STN,LYS,1
STN,MRS,16
STN,NTE,10
STN,NCE,8
STN,FNI,3
STN,CDG,1
STN,PGF,6
STN,PIS,4
STN,RDZ,2
STN,LDE,7
STN,TLS,12
STN,TUF,3
STN,BER,25
STN,BRE,9
STN,CGN,22
STN,DTM,8
STN,DRS,3
STN,FRA,5
STN,HHN,9
STN,HAM,15
STN,FKB,9
STN,LEJ,3
STN,FMM,5
STN,NUE,9
STN,PVK,5
STN,ATH,11
STN,CHQ,6
STN,CFU,14
STN,HER,14
STN,KLX,2
STN,EFL,10
STN,KGS,6
STN,MJT,2
STN,RHO,17
STN,JTR,6
STN,JSI,4
STN,SKG,10
STN,ZTH,8
STN,BUD,33
STN,KEF,8
STN,ORK,23
STN,DUB,65
STN,KIR,7
STN,NOC,12
STN,SNN,19
STN,AHO,4
STN,AOI,8
STN,BRI,8
STN,BLQ,14
STN,BDS,7
STN,CAG,5
STN,CTA,3
STN,GOA,6
STN,SUF,4
STN,BGY,32
STN,MXP,28
STN,NAP,13
STN,OLB,1
STN,PMO,8
STN,PEG,8
STN,PSR,8
STN,PSA,22
STN,RMI,4
STN,CIA,34
STN,FCO,5
STN,TPS,2
STN,TRS,5
STN,TRN,9
STN,VCE,24
STN,VRN,8
STN,JER,1
STN,RIX,13
STN,KUN,6
STN,PLQ,4
STN,VNO,7
STN,LUX,9
STN,MLA,11
STN,TGD,3
STN,AGA,3
STN,ESU,3
STN,FEZ,2
STN,RAK,13
STN,OZZ,2
STN,RBA,4
STN,TNG,2
STN,AMS,23
STN,EIN,24
STN,MST,3
STN,BGO,3
STN,OSL,13
STN,TRF,6
STN,BZG,4
STN,GDN,16
STN,KTW,10
STN,KRK,22
STN,LCJ,6
STN,SZY,2
STN,POZ,10
STN,RZE,8
STN,SZZ,7
STN,WMI,23
STN,WRO,12
STN,FAO,34
STN,FNC,9
STN,LIS,28
STN,PDL,1
STN,OPO,24
STN,OTP,27
STN,CLJ,4
STN,BTS,6
STN,KSC,6
STN,ALC,32
STN,LEI,4
STN,OVD,3
STN,BCN,32
STN,CDT,3
STN,FUE,10
STN,GRO,14
STN,LPA,16
STN,IBZ,29
STN,XRY,4
STN,ACE,18
STN,MAD,24
STN,MAH,13
STN,AGP,28
STN,RMU,12
STN,PMI,44
STN,REU,11
STN,SDR,7
STN,SCQ,8
STN,SVQ,11
STN,TFS,32
STN,VLC,12
STN,VGO,4
STN,ZAZ,5
STN,GOT,7
STN,ORB,2
STN,ARN,11
STN,VST,2
STN,VXO,2
STN,ESB,4
STN,AYT,30
STN,BJV,4
STN,DLM,18
STN,SAW,54
STN,ADB,10
STN,ASB,1
STN,DXB,16
STN,BFS,42
STN,EDI,43
STN,FAB,1
STN,GLA,23
STN,PIK,1
STN,LTN,1
STN,MAN,1
STN,NQY,4
SDF,YHM,1
SDF,YMX,1
SDF,YYZ,1
SDF,YVR,1
SDF,CGN,3
SDF,DUB,1
SDF,NRT,1
SDF,MEX,1
SDF,MTY,1
SDF,SJU,2
SDF,DXB,1
SDF,ALB,1
SDF,ABY,1
SDF,ABQ,1
SDF,ANC,4
SDF,ATL,68
SDF,AUS,3
SDF,BWI,18
SDF,BKW,5
SDF,BIL,1
SDF,BHM,1
SDF,BOI,1
SDF,BOS,25
SDF,BUF,1
SDF,BUR,2
SDF,CID,1
SDF,CHS,2
SDF,CRW,6
SDF,CLT,38
SDF,DPA,1
SDF,PWK,1
SDF,MDW,25
SDF,ORD,65
SDF,RFD,3
SDF,CLE,1
SDF,CAE,1
SDF,OSU,1
SDF,LCK,1
SDF,DFW,49
SDF,DAL,2
SDF,DEC,6
SDF,DEN,27
SDF,VPS,4
SDF,DTW,25
SDF,FAR,1
SDF,FLL,11
SDF,FWA,1
SDF,FAT,1
SDF,GSO,1
SDF,GSP,1
SDF,GPT,1
SDF,MDT,1
SDF,HNL,3
SDF,IAH,26
SDF,HOU,7
SDF,HSV,1
SDF,JAN,1
SDF,JAX,1
SDF,MCI,1
SDF,TYS,1
SDF,LFT,1
SDF,LAN,1
SDF,LAS,13
SDF,LIT,1
SDF,LAX,10
SDF,LBB,1
SDF,MHT,2
SDF,MFE,1
SDF,MEM,3
SDF,MIA,12
SDF,MKE,1
SDF,MSP,19
SDF,MYR,1
SDF,MSY,4
SDF,JFK,3
SDF,LGA,35
SDF,EWR,26
SDF,SWF,1
SDF,OAK,3
SDF,OKC,1
SDF,OMA,1
SDF,ONT,3
SDF,MCO,20
SDF,SFB,4
SDF,PNS,1
SDF,PIA,1
SDF,PHL,27
SDF,PHX,5
SDF,PIT,1
SDF,PDX,3
SDF,PVD,1
SDF,PGD,2
SDF,RDU,4
SDF,RNO,1
SDF,RIC,2
SDF,ROA,1
SDF,MHR,1
SDF,SLC,1
SDF,SAT,2
SDF,SAN,1
SDF,SFO,2
SDF,SRQ,2
SDF,SAV,2
SDF,BFI,3
SDF,FSD,1
SDF,SBN,1
SDF,RSW,1
SDF,GEG,2
SDF,SGF,1
SDF,STL,1
SDF,PIE,2
SDF,SYR,1
SDF,TPA,14
SDF,HUF,1
SDF,TEB,1
SDF,TVC,6
SDF,TUL,1
SDF,IAD,25
SDF,DCA,24
SDF,PBI,1
SDF,ICT,1
SDF,BDL,1
SDD,CBT,2
SDD,LAD,25
SON,BNE,2
SON,ZGU,3
SON,LOD,1
SON,LNE,2
SON,MWF,2
SON,NUS,7
SON,VLI,12
SON,SSR,3
SON,SLH,3
SON,WLH,3
SSG,COO,2
SSG,DLA,15
SSG,BSG,32
SSG,ADD,5
SSG,LBV,3
SSG,CMN,3
SSG,LOS,5
SSG,PHC,1
SSG,MAD,1
SSG,LFW,3
SHO,CPT,3
SHO,DUR,8
SHO,JNB,40
SHO,HRE,4
SPP,SVP,1
SPP,LAD,2
SNB,NO,0
SVO,KBL,1
SVO,ALG,3
SVO,EVN,57
SVO,VIE,2
SVO,GYD,24
SVO,GNJ,1
SVO,MSQ,48
SVO,BRU,8
SVO,PEK,13
SVO,PKX,13
SVO,CTU,4
SVO,TFU,2
SVO,CKG,2
SVO,CAN,5
SVO,HGH,1
SVO,TAO,3
SVO,PVG,19
SVO,XIY,6
SVO,CGO,3
SVO,CCC,2
SVO,VRA,4
SVO,CAI,8
SVO,HRG,11
SVO,SSH,10
SVO,FRA,3
SVO,DEL,8
SVO,IKA,8
SVO,SCO,3
SVO,AKX,5
SVO,ALA,19
SVO,NQZ,24
SVO,GUW,4
SVO,KGF,8
SVO,KSN,3
SVO,FRU,16
SVO,OSS,8
SVO,IKU,5
SVO,MLE,4
SVO,AMS,2
SVO,MCT,6
SVO,DOH,14
SVO,ABA,8
SVO,DYR,3
SVO,KVK,8
SVO,ARH,6
SVO,ASF,32
SVO,BAX,8
SVO,OGZ,3
SVO,CEK,47
SVO,CEE,18
SVO,RGK,16
SVO,GRV,8
SVO,IKT,28
SVO,IJK,32
SVO,KGD,90
SVO,KZN,87
SVO,KEJ,8
SVO,KHV,33
SVO,HMA,16
SVO,KRR,4
SVO,KJA,32
SVO,GDX,10
SVO,MCX,43
SVO,MRV,57
SVO,MMK,53
SVO,NBC,24
SVO,NJC,16
SVO,GOJ,48
SVO,NOZ,8
SVO,OVB,41
SVO,NUX,16
SVO,OMS,24
SVO,REN,50
SVO,OSW,8
SVO,PEZ,8
SVO,PEE,48
SVO,PKC,16
SVO,PES,2
SVO,ROV,3
SVO,SLY,4
SVO,KUF,77
SVO,SKX,6
SVO,GSV,24
SVO,AER,165
SVO,LED,230
SVO,STW,32
SVO,SGC,24
SVO,SCW,19
SVO,TOF,17
SVO,TJM,49
SVO,UFA,54
SVO,UCT,6
SVO,UUD,6
SVO,ULV,24
SVO,VVO,41
SVO,VOG,37
SVO,SVX,103
SVO,UUS,16
SVO,BEG,16
SVO,SEZ,2
SVO,CMB,2
SVO,DAM,2
SVO,KQT,8
SVO,BKK,3
SVO,HKT,4
SVO,ADA,4
SVO,AYT,64
SVO,BJV,12
SVO,DLM,8
SVO,IST,51
SVO,ADB,4
SVO,SIP,3
SVO,AUH,8
SVO,DXB,16
SVO,BHK,6
SVO,FEG,3
SVO,SKD,8
SVO,TAS,12
SHB,CTS,24
SHB,HND,8
SHM,HND,24
SWF,KEF,8
SWF,MDT,1
SWF,SDF,1
SWF,MEM,1
SWF,MMU,1
SWF,MYR,2
SWF,MCO,3
SWF,PIE,2
SZY,LBG,1
SZY,DTM,2
SZY,KRK,6
SZY,WRO,3
SZY,LTN,2
SZY,STN,2
SFB,MHH,1
SFB,CAK,3
SFB,ABE,13
SFB,ATW,2
SFB,AVL,11
SFB,AUS,2
SFB,BGR,4
SFB,BLV,4
SFB,XNA,4
SFB,BIS,2
SFB,BMI,4
SFB,TRI,2
SFB,CID,3
SFB,CHA,2
SFB,RFD,3
SFB,CVG,10
SFB,CKB,3
SFB,LCK,4
SFB,USA,4
SFB,DAY,3
SFB,DSM,4
SFB,ELM,2
SFB,EVV,3
SFB,FAR,2
SFB,FRG,1
SFB,FNT,4
SFB,FWA,4
SFB,GRR,7
SFB,GSP,3
SFB,GPT,2
SFB,HGR,2
SFB,MDT,7
SFB,HTS,4
SFB,IND,6
SFB,EYW,1
SFB,TYS,12
SFB,LAS,3
SFB,LEX,6
SFB,LIT,3
SFB,SDF,4
SFB,MFE,3
SFB,MEM,3
SFB,MOB,1
SFB,MLI,2
SFB,BNA,4
SFB,ORF,2
SFB,OKC,2
SFB,OMA,3
SFB,SFB,1
SFB,PIA,2
SFB,PIT,4
SFB,PBG,2
SFB,PSM,3
SFB,PVU,3
SFB,ROA,2
SFB,SHV,2
SFB,FSD,2
SFB,SBN,3
SFB,SGF,4
SFB,PIE,1
SFB,SYR,3
SFB,TOL,2
SFB,TUL,3
SFB,ICT,2
SFZ,NO,0
SYM,TFU,4
SYM,CKG,3
SYM,KMG,5
SHP,NO,0
SDU,CNF,88
SDU,BSB,141
SDU,CPV,2
SDU,VCP,87
SDU,CAW,20
SDU,CXJ,2
SDU,CWB,64
SDU,FLN,45
SDU,GYN,21
SDU,MCZ,1
SDU,NVT,11
SDU,POA,65
SDU,BPS,12
SDU,REC,30
SDU,RAO,8
SDU,SSA,44
SDU,CGH,383
SDU,GRU,110
SDU,VIX,73
SDU,GTP,7
SCN,LBG,1
SCN,BER,12
SCN,CGN,1
SCN,HAM,3
SCN,HER,1
SCN,FUE,1
SCN,LPA,1
SCN,PMI,16
SCN,TFS,1
SCN,AYT,10
SCN,ADB,1
SAB,SXM,22
SBG,NO,0
SBT,NO,0
SEB,BEN,1
SEB,MJI,4
SAC,APA,1
SAC,FAT,1
SMF,YYZ,5
SMF,YVR,8
SMF,GDL,16
SMF,MEX,2
SMF,SJD,2
SMF,BJX,3
SMF,ACV,3
SMF,ATL,22
SMF,AUS,22
SMF,BOI,23
SMF,BOS,8
SMF,BUR,65
SMF,CLT,8
SMF,MDW,15
SMF,ORD,24
SMF,DFW,37
SMF,DAL,9
SMF,DEN,98
SMF,HNL,16
SMF,IAH,8
SMF,HOU,1
SMF,OGG,16
SMF,LAS,112
SMF,LGB,38
SMF,LAX,110
SMF,MEM,3
SMF,MSP,15
SMF,BNA,1
SMF,JFK,8
SMF,EWR,8
SMF,ONT,43
SMF,PSP,8
SMF,PHL,3
SMF,PHX,67
SMF,PDX,52
SMF,RDD,2
SMF,SLC,47
SMF,SAN,133
SMF,SFO,23
SMF,SNA,53
SMF,SBA,8
SMF,SEA,108
SMF,GEG,15
SMF,STL,8
SMF,UKI,1
SMF,IAD,8
SAD,NO,0
SBR,GIC,8
SBR,HID,21
SPD,DAC,95
STJ,NO,0
SMS,TNR,3
SNR,LBG,1
SNR,TLS,11
SNR,BER,1
SBK,NO,0
SFC,NO,0
SPN,GUM,11
SPN,NRT,3
SPN,ROP,2
SPN,TIQ,1
SPN,ICN,18
SYO,HND,31
SNO,DMK,29
SLL,JIB,1
SLL,COK,1
SLL,CCJ,4
SLL,KWI,1
SLL,MCT,48
SLL,ISB,2
SLL,LHE,1
SLL,SKT,1
SLL,DOH,8
SLL,MED,2
SLL,AUH,11
SLL,DXB,5
SLL,SHJ,10
SLM,PMI,3
SXE,NO,0
SLY,RGK,1
SLY,KZN,1
SLY,MRV,1
SLY,DME,8
SLY,SVO,4
SLY,OVB,1
SLY,NUX,2
SLY,NOJ,2
SLY,OMS,3
SLY,AER,5
SLY,LED,3
SLY,TJM,14
SLY,UFA,3
SLY,SVX,3
SXV,NO,0
SLE,PDX,2
SLO,NO,0
SCR,NO,0
SLT,NO,0
SLN,ORD,8
SLN,CMH,0
SLN,HYS,8
SLN,MSO,1
SNC,NO,0
SNS,NO,0
SBY,CLT,24
SBY,PHL,7
SRW,NO,0
SLC,YYC,16
SLC,YYZ,11
SLC,YVR,8
SLC,CDG,8
SLC,FRA,2
SLC,CUN,8
SLC,GDL,8
SLC,MEX,8
SLC,PVR,8
SLC,SJD,8
SLC,AMS,12
SLC,LHR,8
SLC,ABQ,25
SLC,ABE,1
SLC,ANC,5
SLC,ATL,71
SLC,AUS,40
SLC,BWI,10
SLC,BIL,24
SLC,BOI,40
SLC,BOS,32
SLC,BZN,32
SLC,BUR,31
SLC,BTM,15
SLC,CPR,8
SLC,CDC,14
SLC,CLT,29
SLC,MDW,16
SLC,ORD,62
SLC,RFD,1
SLC,CVG,16
SLC,COS,8
SLC,DFW,80
SLC,DAL,16
SLC,APA,5
SLC,DEN,165
SLC,BJC,1
SLC,DTW,37
SLC,EKO,9
SLC,EUG,16
SLC,FLL,13
SLC,FAT,24
SLC,GJT,1
SLC,GTF,24
SLC,SUN,18
SLC,HLN,16
SLC,HNL,8
SLC,IAH,48
SLC,HOU,10
SLC,IDA,25
SLC,IND,2
SLC,JAC,24
SLC,FCA,24
SLC,MCI,24
SLC,LAS,103
SLC,HSH,1
SLC,LWS,8
SLC,LGB,32
SLC,LAX,97
SLC,SDF,3
SLC,MFR,16
SLC,MEM,10
SLC,MIA,8
SLC,MKE,1
SLC,MSP,38
SLC,MSO,24
SLC,CNY,6
SLC,BNA,17
SLC,MSY,8
SLC,JFK,49
SLC,EWR,24
SLC,OAK,47
SLC,PWA,1
SLC,OKC,16
SLC,OMA,16
SLC,ONT,26
SLC,MCO,46
SLC,PSP,16
SLC,PSC,24
SLC,PHL,8
SLC,PHX,105
SLC,PIH,11
SLC,CLM,1
SLC,PDX,52
SLC,RDU,8
SLC,RDM,16
SLC,RNO,24
SLC,SMF,47
SLC,SAT,24
SLC,SEE,1
SLC,SAN,54
SLC,SFO,77
SLC,SJC,39
SLC,SNA,40
SLC,SBA,1
SLC,STS,1
SLC,SCF,1
SLC,BFI,1
SLC,SEA,85
SLC,GEG,40
SLC,SGU,28
SLC,STL,25
SLC,TPA,8
SLC,TEX,1
SLC,TUS,24
SLC,TUL,16
SLC,TWF,10
SLC,IAD,9
SLC,DCA,8
SLC,WYS,14
SLC,HPN,1
SLC,BDL,1
SLA,AEP,68
